종목명,부도기사비율,1m_ratio,2m_ratio,3m_ratio,4m_ratio,5m_ratio,6m_ratio
엔터기술,18.461538461538463,7.6923076923076925,16.923076923076923,12.307692307692308,16.923076923076923,7.6923076923076925,38.46153846153847
엔티피아,56.25,0.0,0.0,0.0,18.75,68.75,12.5
엘앤케이바이오,20.0,21.53846153846154,23.076923076923077,21.53846153846154,10.76923076923077,3.076923076923077,20.0
엘에너지,30.76923076923077,53.84615384615385,30.76923076923077,15.384615384615385,0.0,0.0,0.0
엘컴텍,25.0,4.6875,3.125,0.0,17.1875,7.8125,67.1875
엘티에스,55.84415584415584,2.5974025974025974,1.2987012987012987,15.584415584415584,16.883116883116884,19.480519480519483,44.15584415584416
엠제이비,3.296703296703297,19.78021978021978,8.791208791208792,17.582417582417584,3.296703296703297,0.0,50.54945054945055
엠젠플러스,0.0,0.0,0.0,100.0,0.0,0.0,0.0
엠텍비젼,34.285714285714285,30.0,14.285714285714285,35.714285714285715,1.4285714285714286,2.857142857142857,15.714285714285714
영신금속,4.761904761904762,4.761904761904762,38.095238095238095,33.33333333333333,9.523809523809524,0.0,14.285714285714285
영인프런티어,0.0,35.8974358974359,28.205128205128204,35.8974358974359,0.0,0.0,0.0
영진코퍼레이션,3.7735849056603774,11.320754716981133,3.7735849056603774,0.0,0.0,5.660377358490567,79.24528301886792
오리엔탈정공,36.58536585365854,16.260162601626014,18.69918699186992,2.4390243902439024,11.38211382113821,18.69918699186992,32.52032520325203
오파스넷,25.675675675675674,2.7027027027027026,9.45945945945946,27.027027027027028,20.27027027027027,24.324324324324326,16.216216216216218
온코퀘스트파마슈티컬,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0
옴니텔,0.0,14.893617021276595,44.680851063829785,23.404255319148938,12.76595744680851,4.25531914893617,0.0
와이즈파워,2.5,1.6666666666666667,12.5,13.333333333333334,13.333333333333334,15.0,44.166666666666664
우성아이비,6.25,0.0,87.5,12.5,0.0,0.0,0.0
우양에이치씨,4.878048780487805,41.46341463414634,15.853658536585366,4.878048780487805,28.04878048780488,6.097560975609756,3.6585365853658534
울트라건설,7.042253521126761,4.225352112676056,4.225352112676056,11.267605633802818,42.25352112676056,15.492957746478872,22.535211267605636
웰메이드스타엠,5.263157894736842,15.789473684210526,15.789473684210526,26.31578947368421,26.31578947368421,0.0,15.789473684210526
웰크론강원,4.838709677419355,25.806451612903224,64.51612903225806,9.67741935483871,0.0,0.0,0.0
위노바,5.128205128205128,33.33333333333333,51.28205128205128,2.564102564102564,5.128205128205128,0.0,7.6923076923076925
위다스,12.264150943396226,7.547169811320755,16.037735849056602,11.320754716981133,22.641509433962266,21.69811320754717,20.754716981132077
유니드코리아,10.309278350515463,0.0,5.154639175257731,12.371134020618557,25.773195876288657,7.216494845360824,49.48453608247423
유니슨,20.51282051282051,30.76923076923077,0.0,14.102564102564102,5.128205128205128,28.205128205128204,21.794871794871796
유비벨록스,29.230769230769234,25.384615384615383,20.0,9.230769230769232,7.6923076923076925,14.615384615384617,23.076923076923077
유아이디,18.367346938775512,10.204081632653061,26.53061224489796,4.081632653061225,4.081632653061225,28.57142857142857,26.53061224489796
유테크,22.68041237113402,5.154639175257731,27.835051546391753,21.649484536082475,9.278350515463918,9.278350515463918,26.804123711340207
이디디컴퍼니,4.878048780487805,0.0,24.390243902439025,12.195121951219512,4.878048780487805,14.634146341463413,43.90243902439025
이에스브이,9.333333333333334,21.333333333333336,16.0,25.333333333333336,17.333333333333336,17.333333333333336,2.666666666666667
이에스에이,12.389380530973451,0.8849557522123894,10.619469026548673,24.778761061946902,19.469026548672566,22.123893805309734,22.123893805309734
이엘케이,12.5,5.208333333333334,9.375,8.333333333333332,0.0,2.083333333333333,75.0
인트로메딕,12.82051282051282,12.82051282051282,4.487179487179487,26.923076923076923,21.794871794871796,12.82051282051282,21.153846153846153
일야,0.0,15.789473684210526,18.421052631578945,36.84210526315789,2.631578947368421,18.421052631578945,7.894736842105263
자연과환경,4.166666666666666,0.0,0.0,25.0,41.66666666666667,0.0,33.33333333333333
자유투어,18.181818181818183,100.0,0.0,0.0,0.0,0.0,0.0
잘만테크,69.46564885496184,0.0,6.870229007633588,0.0,0.0,0.7633587786259541,92.36641221374046
제낙스,2.8455284552845526,2.8455284552845526,8.130081300813007,21.544715447154474,17.88617886178862,29.268292682926827,20.32520325203252
제이스테판,4.545454545454546,9.090909090909092,36.36363636363637,36.36363636363637,6.0606060606060606,1.5151515151515151,10.606060606060606
제이앤유글로벌,4.3478260869565215,0.0,2.1739130434782608,43.47826086956522,54.347826086956516,0.0,0.0
제이웨이,0.0,39.130434782608695,0.0,0.0,17.391304347826086,4.3478260869565215,39.130434782608695
조이맥스,0.0,0.0,100.0,0.0,0.0,0.0,0.0
지스마트글로벌,1.5151515151515151,19.696969696969695,15.151515151515152,9.090909090909092,28.78787878787879,7.575757575757576,19.696969696969695
지와이커머스,22.22222222222222,7.777777777777778,7.777777777777778,15.555555555555555,14.444444444444443,21.11111111111111,33.33333333333333
지투하이소닉,24.65753424657534,0.0,26.027397260273972,4.10958904109589,5.47945205479452,47.94520547945205,16.43835616438356
차바이오텍,7.228915662650602,0.0,13.855421686746988,12.650602409638553,23.49397590361446,35.54216867469879,14.457831325301203
캔서롭,22.377622377622377,13.286713286713287,19.58041958041958,20.97902097902098,36.36363636363637,9.090909090909092,0.6993006993006993
케어젠,15.789473684210526,6.578947368421052,56.57894736842105,9.210526315789473,13.157894736842104,3.9473684210526314,10.526315789473683
케이엘티,4.395604395604396,9.89010989010989,49.45054945054945,25.274725274725274,15.384615384615385,0.0,0.0
케이제이프리텍,0.0,0.0,0.0,100.0,0.0,0.0,0.0
케이피엠테크,43.75,0.0,34.375,0.0,0.0,21.875,43.75
코나아이,30.508474576271187,23.728813559322035,28.8135593220339,1.694915254237288,15.254237288135593,8.47457627118644,22.033898305084744
코다코,2.8169014084507045,5.633802816901409,28.169014084507044,9.859154929577464,9.859154929577464,9.859154929577464,36.61971830985916
코데즈컴바인,4.545454545454546,28.40909090909091,37.5,0.0,14.772727272727273,6.8181818181818175,12.5
코렌텍,26.666666666666668,3.3333333333333335,10.0,23.333333333333332,0.0,16.666666666666664,46.666666666666664
코센,4.587155963302752,15.59633027522936,6.422018348623854,11.009174311926607,20.18348623853211,20.18348623853211,26.605504587155966
코스온,13.725490196078432,17.647058823529413,33.33333333333333,13.725490196078432,15.686274509803921,15.686274509803921,3.9215686274509802
코썬바이오,40.74074074074074,0.0,0.0,0.0,7.4074074074074066,92.5925925925926,0.0
코아크로스,2.1739130434782608,0.0,10.869565217391305,6.521739130434782,26.08695652173913,23.91304347826087,32.608695652173914
코오롱생명과학,28.524590163934427,6.885245901639345,53.442622950819676,25.245901639344265,14.426229508196723,0.0,0.0
코오롱티슈진,17.261904761904763,2.380952380952381,2.380952380952381,27.976190476190478,16.666666666666664,50.595238095238095,0.0
큐리어스,29.545454545454547,20.454545454545457,2.272727272727273,13.636363636363635,13.636363636363635,2.272727272727273,47.72727272727273
큐브앤컴퍼니,4.3478260869565215,10.869565217391305,23.91304347826087,2.1739130434782608,28.26086956521739,21.73913043478261,13.043478260869565
크로바하이텍,8.0,8.0,18.0,26.666666666666668,28.666666666666668,6.666666666666667,12.0
크루셜텍,31.70731707317073,4.878048780487805,4.878048780487805,0.0,7.317073170731707,19.51219512195122,63.41463414634146
태산엘시디,67.44186046511628,34.10852713178294,25.581395348837212,1.550387596899225,22.48062015503876,10.852713178294573,5.426356589147287
태창파로스,7.291666666666667,29.166666666666668,22.916666666666664,0.0,5.208333333333334,12.5,30.208333333333332
터보테크,20.833333333333336,14.583333333333334,6.25,27.083333333333332,22.916666666666664,2.083333333333333,27.083333333333332
테라리소스,16.666666666666664,47.61904761904761,16.666666666666664,16.666666666666664,0.0,0.0,19.047619047619047
테라셈,28.57142857142857,8.571428571428571,34.285714285714285,8.571428571428571,11.428571428571429,34.285714285714285,2.857142857142857
트라이써클,32.5,22.5,13.750000000000002,1.25,27.500000000000004,17.5,17.5
트레이스,26.666666666666668,13.333333333333334,86.66666666666667,0.0,0.0,0.0,0.0
트루윈,0.0,7.142857142857142,0.0,0.0,7.142857142857142,57.14285714285714,28.57142857142857
티에스엠텍,0.0,19.230769230769234,32.69230769230769,0.0,0.0,5.769230769230769,42.30769230769231
파나진,9.615384615384617,15.384615384615385,17.307692307692307,3.8461538461538463,3.8461538461538463,26.923076923076923,32.69230769230769
파이오링크,34.61538461538461,3.8461538461538463,23.076923076923077,23.076923076923077,11.538461538461538,0.0,38.46153846153847
파인넥스,13.043478260869565,0.0,0.0,0.0,0.0,8.695652173913043,91.30434782608695
파티게임즈,14.285714285714285,100.0,0.0,0.0,0.0,0.0,0.0
팍스넷,5.369127516778524,19.463087248322147,6.7114093959731544,26.845637583892618,26.845637583892618,6.7114093959731544,13.422818791946309
포티스,0.0,50.0,50.0,0.0,0.0,0.0,0.0
플레이위드,6.349206349206349,9.523809523809524,44.44444444444444,4.761904761904762,3.1746031746031744,9.523809523809524,28.57142857142857
플렉스컴,19.411764705882355,11.176470588235295,2.3529411764705883,5.294117647058823,28.823529411764703,13.529411764705882,38.82352941176471
피앤텔,35.8974358974359,0.0,23.076923076923077,5.128205128205128,12.82051282051282,35.8974358974359,23.076923076923077
피에스엠씨,63.63636363636363,2.272727272727273,13.636363636363635,0.0,0.0,45.45454545454545,38.63636363636363
피엘에이,22.0,15.0,22.0,3.0,40.0,8.0,12.0
픽셀플러스,17.391304347826086,0.0,0.0,4.3478260869565215,8.695652173913043,39.130434782608695,47.82608695652174
한국정밀기계,66.66666666666666,0.0,0.0,0.0,0.0,91.66666666666666,8.333333333333332
한국코퍼레이션,8.823529411764707,20.588235294117645,7.352941176470589,1.4705882352941175,16.176470588235293,5.88235294117647,48.529411764705884
한국테크놀로지,2.7777777777777777,13.88888888888889,11.11111111111111,27.77777777777778,2.7777777777777777,8.333333333333332,36.11111111111111
한솔인티큐브,26.08695652173913,30.434782608695656,13.043478260869565,2.1739130434782608,13.043478260869565,6.521739130434782,34.78260869565217
한진피앤씨,44.827586206896555,3.4482758620689653,3.4482758620689653,5.172413793103448,0.0,42.241379310344826,45.689655172413794
해덕파워웨이,17.647058823529413,29.411764705882355,45.09803921568628,20.588235294117645,4.901960784313726,0.0,0.0
핸디소프트,55.35714285714286,14.285714285714285,5.357142857142857,17.857142857142858,3.571428571428571,39.285714285714285,19.642857142857142
현진소재,0.0,14.893617021276595,27.659574468085108,0.0,29.78723404255319,21.27659574468085,6.382978723404255
협진,61.29032258064516,32.25806451612903,16.129032258064516,12.903225806451612,0.0,25.806451612903224,12.903225806451612
화신테크,4.6875,4.6875,34.89583333333333,23.4375,30.208333333333332,6.770833333333333,0.0
화진,15.0,11.0,30.0,10.0,19.0,0.0,30.0
휴먼텍코리아,39.795918367346935,17.346938775510203,7.142857142857142,0.0,0.0,7.142857142857142,68.36734693877551
