회사명,시간,기간,기간 후
에이코넬,2015-03-23,2014-09-24,2015-02-23
대한그린파워,2015-03-31,2014-10-02,2015-02-28
엘에너지,2015-03-31,2014-10-02,2015-02-28
퍼시픽바이오,2015-03-31,2014-10-02,2015-02-28
케이알피앤이,2015-03-31,2014-10-02,2015-02-28
시너지이노베이션,2015-06-17,2014-12-19,2015-05-17
코아로직,2015-06-17,2014-12-19,2015-05-17
브이티지엠피,2015-08-17,2015-02-18,2015-07-17
지엠피,2015-08-17,2015-02-18,2015-07-17
KX하이텍,2015-08-27,2015-02-28,2015-07-27
비아이이엠티,2015-08-27,2015-02-28,2015-07-27
KMH하이텍,2015-08-27,2015-02-28,2015-07-27
THEE&M,2015-08-31,2015-03-04,2015-07-31
오상헬스케어,2016-01-28,2015-08-01,2015-12-28
인포피아,2016-01-28,2015-08-01,2015-12-28
피에이치씨,2016-03-14,2015-09-16,2016-02-14
토필드,2016-03-14,2015-09-16,2016-02-14
필로시스헬스케어,2016-03-14,2015-09-16,2016-02-14
동일철강,2016-03-17,2015-09-19,2016-02-17
동철강,2016-03-17,2015-09-19,2016-02-17
제넨바이오,2016-03-21,2015-09-23,2016-02-21
태양기전,2016-03-21,2015-09-23,2016-02-21
태양씨앤엘,2016-03-21,2015-09-23,2016-02-21
케이디네이쳐엔바이오,2016-03-21,2015-09-23,2016-02-21
신양오라컴,2016-03-22,2015-09-24,2016-02-22
신양엔지니어링,2016-03-22,2015-09-24,2016-02-22
비엔씨컴퍼니,2016-03-22,2015-09-24,2016-02-22
금성테크,2016-03-22,2015-09-24,2016-02-22
위메이드플레이,2016-03-22,2015-09-24,2016-02-22
선데이토즈,2016-03-22,2015-09-24,2016-02-22
케이엔씨글로벌,2016-04-12,2015-10-15,2016-03-12
엔티피아,2016-04-12,2015-10-15,2016-03-12
SBW생명과학,2016-04-18,2015-10-21,2016-03-18
나노스,2016-04-18,2015-10-21,2016-03-18
WI,2016-09-20,2016-03-24,2016-08-20
프롬써어티,2016-09-20,2016-03-24,2016-08-20
CNT85,2016-11-14,2016-05-18,2016-10-14
텔로드,2016-11-14,2016-05-18,2016-10-14
아큐픽스,2016-11-14,2016-05-18,2016-10-14
포스링크,2016-11-14,2016-05-18,2016-10-14
골드퍼시픽,2017-01-18,2016-07-22,2016-12-18
코아크로스,2017-01-18,2016-07-22,2016-12-18
매커스,2017-01-18,2016-07-22,2016-12-18
에스에이치엔엘,2017-03-22,2016-09-23,2017-02-22
아남정보기술,2017-03-22,2016-09-23,2017-02-22
에스아이티글로벌,2017-03-22,2016-09-23,2017-02-22
에이앤티앤,2017-03-22,2016-09-23,2017-02-22
아래스,2017-03-22,2016-09-23,2017-02-22
비덴트,2017-03-23,2016-09-24,2017-02-23
세븐스타웍스,2017-03-23,2016-09-24,2017-02-23
스틸플라워,2017-03-23,2016-09-24,2017-02-23
에이루트,2017-03-23,2016-09-24,2017-02-23
세우테크,2017-03-23,2016-09-24,2017-02-23
제이스테판,2017-03-23,2016-09-24,2017-02-23
중앙리빙테크,2017-03-23,2016-09-24,2017-02-23
중앙디앤엠,2017-03-23,2016-09-24,2017-02-23
넥스트바이오홀딩스,2017-03-23,2016-09-24,2017-02-23
휴림스,2017-03-23,2016-09-24,2017-02-23
센트럴바이오,2017-03-23,2016-09-24,2017-02-23
테라사이언스,2017-03-23,2016-09-24,2017-02-23
삼원테크주식회사,2017-03-23,2016-09-24,2017-02-23
스카이이앤엠,2017-03-23,2016-09-24,2017-02-23
리켐,2017-03-23,2016-09-24,2017-02-23
알이피,2017-03-23,2016-09-24,2017-02-23
디에스앤엘,2017-03-23,2016-09-24,2017-02-23
포티스,2017-03-23,2016-09-24,2017-02-23
에스엘바이오닉스,2017-03-29,2016-09-30,2017-02-28
세미콘라이트,2017-03-29,2016-09-30,2017-02-28
코디,2017-08-11,2017-02-12,2017-07-11
코디에스,2017-08-11,2017-02-12,2017-07-11
C&S자산관리,2017-08-14,2017-02-15,2017-07-14
행남사,2017-09-14,2017-03-18,2017-08-14
행남자기,2017-09-14,2017-03-18,2017-08-14
행남생활건강,2017-09-14,2017-03-18,2017-08-14
스튜디오썸머,2017-09-14,2017-03-18,2017-08-14
코드네이처,2017-09-22,2017-03-26,2017-08-22
경산업개발,2017-09-22,2017-03-26,2017-08-22
EV수성,2018-03-16,2017-09-17,2018-02-16
수성이노베이션,2018-03-16,2017-09-17,2018-02-16
블루베리NFT,2018-03-22,2017-09-23,2018-02-22
감마누,2018-03-22,2017-09-23,2018-02-22
THQ,2018-03-22,2017-09-23,2018-02-22
아이톡시,2018-03-22,2017-09-23,2018-02-22
와이디온라인,2018-03-22,2017-09-23,2018-02-22
코너스톤네트웍스,2018-03-22,2017-09-23,2018-02-22
이디,2018-03-22,2017-09-23,2018-02-22
세영디앤씨,2018-03-22,2017-09-23,2018-02-22
이에스에이,2018-03-22,2017-09-23,2018-02-22
모다,2018-04-02,2017-10-04,2018-03-02
모다정보통신,2018-04-02,2017-10-04,2018-03-02
제이테크놀로지,2018-04-02,2017-10-04,2018-03-02
마제스타,2018-04-02,2017-10-04,2018-03-02
제이비어뮤즈먼트,2018-04-02,2017-10-04,2018-03-02
상상인인더스트리,2018-06-19,2017-12-21,2018-05-19
디엠씨,2018-06-19,2017-12-21,2018-05-19
엠피대산,2018-08-14,2018-02-15,2018-07-14
미스터피자,2018-08-14,2018-02-15,2018-07-14
엠피케이,2018-08-14,2018-02-15,2018-07-14
엠피그룹,2018-08-14,2018-02-15,2018-07-14
지유온,2018-09-21,2018-03-25,2018-08-21
처음앤씨,2018-09-21,2018-03-25,2018-08-21
지와이커머스,2018-09-21,2018-03-25,2018-08-21
케스피온,2018-10-16,2018-04-19,2018-09-16
EMW,2018-10-16,2018-04-19,2018-09-16
이엠앤아이,2018-10-24,2018-04-27,2018-09-24
케이제이프리텍,2018-10-24,2018-04-27,2018-09-24
에이치디,2019-01-08,2018-07-12,2018-12-08
해덕파워웨이,2019-01-08,2018-07-12,2018-12-08
하이소닉,2019-01-28,2018-08-01,2018-12-28
알비케이이엠디,2019-01-28,2018-08-01,2018-12-28
지투하이소닉,2019-01-28,2018-08-01,2018-12-28
노블엠앤비,2019-03-06,2018-09-07,2019-02-06
디지탈옵틱,2019-03-06,2018-09-07,2019-02-06
티사이언티픽,2019-03-14,2018-09-15,2019-02-14
옴니텔,2019-03-14,2018-09-15,2019-02-14
KD,2019-03-18,2018-09-19,2019-02-18
KD건설,2019-03-18,2018-09-19,2019-02-18
럭슬,2019-03-19,2018-09-20,2019-02-19
이젠텍,2019-03-19,2018-09-20,2019-02-19
